"id_trinquet";"nom_trinquet";"nom_ville";"adresse"
"1";"Trinquet Ibar";"Mouguerre";"380 Route Departementale 357, 64990 Mouguerre, France"
"2";"Trinquet Saint-Andre";"Bayonne";"18 Rue du Trinquet, 64100 Bayonne, France"
"3";"Trinquet Moderne";"Bayonne";"60 Avenue Dubrocq, 64100 Bayonne, France"
"4";"Trinquet aviron bayonnais";"Bayonne";"1831 Avenue Chanoine Jean Lamarque, 64100 Bayonne, France"
"5";"Trinquet Aguilera";"Biarritz";"Rue d'Aguilera, Biarritz"
"6";"Trinquet ElHogar";"Anglet";"Rue de Jouanetote, Anglet"
"7";"Trinquet Hiribehere";"Ustaritz";"Place du Trinquet, Ustaritz"
"8";"Trinquet Municipal";"Hasparren";"Rue du Trinquet, Hasparren"
"9";"Trinquet d'Arcangues";"Arcangues";"Centre du village, Arcangues"
"10";"Trinquet de Bassussarry";"Bassussarry";"Route de l'eglise, Bassussarry"
"11";"Trinquet de Lahonce";"Lahonce";"Bourg de Lahonce"
"12";"Trinquet d'Helette";"Helette";"Centre du village, Helette"
"13";"Trinquet de Villefranque";"Villefranque";"Place du Fronton, Villefranque"
"14";"Trinquet Berria";"Hasparren";"68 rue Francis Jammes, 64240 Hasparren"
